stt,Vaccine,TR1,TR2,TR3,TR4,TR5,TR6,PRC1,PRC2,PRC3,PRC4,PRC5,PRC6,PV1,PV2,PV3,PV4,PV5,PV6,SO1,SO2,SO3,SN1,SN2,SN3,INT1,INT2,INT3,GENDER,AGE,JOB,EDU,INCOME,,,,,,,
1,2,4,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,2,,Note:,,,,,
2,4,4,5,4,4,4,4,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,4,5,2,4,4,5,1,1,5,4,4,,GENDER,1-Male,0-Female,2-Other,,
3,4,4,5,4,4,4,5,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,1,4,,AGE,1- <35,2- 35-45,3- 46-65,4- >65,
4,2,5,4,4,3,3,5,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,4,5,2,4,4,5,1,1,1,2,2,,JOB,1- Private office staff,2- Public Officials,3- Self-employed,4- Industrial workers,5- Other
5,1,3,3,3,3,3,3,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,4,5,2,4,4,5,0,2,2,2,1,,EDU,1- < Unverisity,2- University,3- Master,4- Doctor,
6,1,4,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,4,5,2,4,4,5,0,1,1,2,1,,INCOME,1- <10mil,2- 10-15mil,3- 15-20 mil,4- >20mil,
7,1,3,3,3,3,3,3,5,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,3,1,1,,INDEX,1- Vaccine are safe,2- Effective vaccine,3- Guaranteed medical facilities,4- Not interested,
8,1,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,4,5,2,4,4,5,0,2,3,2,3,,,,,,,
9,1,2,3,3,3,2,2,5,4,5,4,5,4,5,4,5,5,5,5,4,4,5,4,5,2,4,4,5,0,2,3,2,2,,,,,,,
10,1,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,1,3,2,1,,,,,,,
11,4,5,5,5,4,3,3,5,4,3,3,4,4,5,2,3,4,3,4,3,4,4,5,4,3,5,3,4,1,1,5,2,2,,,,,,,
12,1,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,5,0,1,1,2,2,,,,,,,
13,1,5,5,5,5,5,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,2,5,3,4,,,,,,,
14,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,,,,,,,
15,1,5,4,5,5,4,5,5,5,3,2,1,2,4,4,3,5,5,5,3,3,4,5,1,1,5,5,5,0,1,1,2,2,,,,,,,
16,4,5,3,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,0,1,1,2,2,,,,,,,
17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,5,2,2,,,,,,,
18,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,2,2,,,,,,,
19,2,3,4,4,4,3,5,5,5,4,4,4,3,4,3,4,4,4,5,3,4,4,4,4,3,2,4,3,1,1,1,2,2,,,,,,,
20,1,4,4,4,4,3,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,4,4,1,1,1,2,2,,,,,,,
21,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,5,2,2,,,,,,,
22,1,5,4,5,4,4,4,5,5,4,5,3,4,4,4,4,5,4,5,4,3,4,3,3,3,5,5,5,1,1,1,2,2,,,,,,,
23,1,3,3,3,4,4,5,5,5,5,5,4,5,3,3,4,4,2,3,1,2,3,3,3,2,5,2,3,0,1,1,2,2,,,,,,,
24,2,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,4,4,4,2,4,4,4,1,1,1,2,2,,,,,,,
